country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,methodUncertainty,latitude,longitude,date,depth,noinp,filtered,AMAP_group,sampleID,replicate,pargroup,metpt,metoa,metcx,OSPAR_region,OSPAR_subregion
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,HA,D,y,12,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,mg/kg,4.64,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,HA,D,y,11,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,HG,LI,W,mg/kg,4.92,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,mg/kg,9.04,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,HA,D,y,5,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,HG,HA,D,mg/kg,3.98,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,HA,D,mg/kg,4.01,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,HA,D,mg/kg,4.27,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,HA,D,mg/kg,4.36,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,HA,D,mg/kg,6.18,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,HG,HA,D,mg/kg,6.31,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,HA,D,mg/kg,6.83,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,HG,HA,D,mg/kg,6.985,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,HA,D,mg/kg,7.709,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,HA,D,y,14,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,HA,D,mg/kg,4.495,,,,25,%,,,,,,,,,,,,,,,
