country;station_code;station_name;year;species;sex;determinand;matrix;basis;unit;value;qflag;limit_detection;limit_quantification;uncertainty;methodUncertainty;sub.sample;AMAP_group;idno
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;N15D;MU;D;ppt;17.1;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;C13D;MU;D;ppt;-19.5;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;SCB7;BB;L;ng/g;11479.94;;;;25;%;;juvenile;1391
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;DDTPP;BB;L;ng/g;297.68;;;;25;%;;juvenile;1391
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;HCH;BB;L;ng/g;525;;;;25;%;;juvenile;1391
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;HCB;BB;L;ng/g;118;;;;25;%;;juvenile;1391
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;OCB;BB;L;ng/g;45;;;;25;%;;juvenile;1391
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;DIEL;BB;L;ng/g;342.42;;;;25;%;;juvenile;1391
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;HCEPX;BB;L;ng/g;301;;;;25;%;;juvenile;1391
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;MIREX;BB;L;ng/g;12.93;;;;25;%;;juvenile;1391
